id,created_time,creator_id,modified_time,modifier_id,is_deleted,role_id,menu_id
217,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,2
218,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,8
219,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,5
220,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,14
221,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,4
222,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,10
223,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,26
224,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,11
225,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,27
226,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,12
227,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,13
228,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,34
229,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,35
230,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,38
231,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,45
232,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,17
233,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,19
234,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,31
235,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,18
236,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,30
237,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,15
238,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,25
239,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,16
240,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,20
241,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,24
242,2024-07-21 07:28:38.035412,1,2024-07-21 07:28:38.035412,0,0,2,32
264,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,2
265,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,8
266,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,5
267,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,14
268,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,4
269,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,34
270,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,35
271,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,36
272,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,45
273,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,17
274,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,19
275,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,31
276,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,18
277,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,28
278,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,30
279,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,21
280,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,15
281,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,25
282,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,16
283,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,20
284,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,24
285,2024-07-21 07:45:01.427983,1,2024-07-21 07:45:01.427983,0,0,3,32
